fineid,memberid,transid,amount,paid
1,888,710,7.39,1
2,889,711,21.71,0
3,890,712,15.74,1
4,891,713,24.34,0
5,892,714,34.45,0
6,893,715,32.7,1
7,894,716,44.62,1
8,895,717,45.88,1
9,896,718,43.16,1
10,897,719,9.57,0
11,898,720,21.65,0
12,899,721,15.54,0
13,900,722,31.88,0
14,901,723,23.98,0
15,902,724,46.44,0
16,903,725,13.26,1
17,904,726,15.99,1
18,905,727,31.11,1
19,906,728,20.64,0
20,907,729,40.95,1
21,908,730,9.3,1
22,909,731,36.26,1
23,910,732,13.84,1
24,911,733,8.54,1
25,912,734,19.61,0
26,913,735,45.85,0
27,914,736,35.78,1
28,915,737,38.26,1
29,916,738,28.54,1
30,917,739,37.94,1
31,918,740,28.78,1
32,919,741,49.2,0
33,920,742,12.66,0
34,921,743,24.76,0
35,922,744,16.42,0
36,923,745,19.18,0
37,924,746,28.52,0
38,925,747,25.92,1
39,926,748,37.55,1
40,927,749,49.08,1
41,928,750,45.57,0
42,929,751,5.55,0
43,930,752,39.19,0
44,931,753,25.61,0
45,932,754,9.59,1
46,933,755,5.61,1
47,934,756,34.72,0
48,935,757,36.48,0
49,936,758,29.88,1
50,937,759,10.08,1
51,938,760,14.64,0
52,939,761,12.35,1
53,940,762,23.38,0
54,941,763,45.29,1
55,942,764,14.54,1
56,943,765,30.68,0
57,944,766,22.16,1
58,945,767,43.95,1
59,946,768,40.93,0
60,947,769,17.22,0
61,948,770,28.97,1
62,949,771,43.09,1
63,950,772,28.62,0
64,951,773,33.21,1
65,952,774,7.03,1
66,953,775,15.32,0
67,954,776,15.22,1
68,955,777,21.06,0
69,956,778,34.35,1
70,957,779,47.95,0
71,958,780,48.27,0
72,959,781,19.49,0
73,960,782,37.64,0
74,961,783,42.68,0
75,962,784,39.08,1
76,963,785,32.68,0
77,964,786,39.64,1
78,965,787,43.33,1
79,966,788,44.29,1
80,967,789,5.74,1
81,968,790,11.39,1
82,969,791,47.63,0
83,970,792,47.15,1
84,971,793,49.55,1
85,972,794,48.32,0
86,973,795,10.46,0
87,974,796,35.54,1
88,975,797,39.28,0
89,976,798,6.56,1
90,977,799,13.34,1
91,978,800,27.35,0
92,979,801,8.58,1
93,980,802,19.08,1
94,981,803,19.59,0
95,982,804,41.14,0
96,983,805,27.48,1
97,984,806,9.23,0
98,985,807,40.35,0
99,986,808,38.77,1
100,987,809,48.92,0
101,988,810,33.31,1
102,989,811,31.73,0
103,990,812,29.26,1
104,991,813,34.16,0
105,992,814,24.09,1
106,993,815,49.12,1
107,994,816,40.28,0
108,995,817,47.03,1
109,996,818,27.78,0
110,997,819,13.81,0
111,998,820,13.66,1
112,999,821,16.75,0
113,1000,822,25.99,0
114,1001,823,35.02,0
115,1002,824,8.8,0
116,1003,825,47.34,1
117,1004,826,36.87,0
118,1005,827,32.12,0
119,1006,828,48.89,0
120,1007,829,45.62,1
121,1008,830,34.25,1
122,1009,831,20.08,1
123,1010,832,48.13,1
124,1011,833,34.18,0
125,1012,834,31.45,1
126,1013,835,25.0,0
127,1014,836,36.08,1
128,1015,837,47.75,1
129,1016,838,35.37,0
130,1017,839,44.68,0
131,1018,840,24.56,0
132,1019,841,40.92,0
133,1020,842,24.96,1
134,1021,843,30.62,1
135,1022,844,10.24,0
136,1023,845,7.23,1
137,1024,846,40.05,0
138,1025,847,27.76,1
139,1026,848,20.05,0
140,1027,849,30.45,0
141,1028,850,35.8,1
142,1029,851,41.7,0
143,1030,852,15.41,0
144,1031,853,21.16,0
145,1032,854,9.81,0
146,1033,855,12.79,1
147,1034,856,9.85,0
148,1035,857,24.23,1
149,1036,858,20.33,0
150,1037,859,41.58,0
151,1038,860,29.21,1
152,1039,861,13.0,0
153,1040,862,14.09,1
154,1041,863,45.13,0
155,1042,864,42.67,1
156,1043,865,49.03,1
157,1044,866,18.7,0
158,1045,867,12.11,1
159,1046,868,12.1,0
160,1047,869,46.64,0
161,1048,870,25.0,1
162,1049,871,15.28,1
163,1050,872,30.29,1
164,1051,873,40.96,1
165,1052,874,12.83,0
166,1053,875,44.6,0
167,1054,876,16.07,0
168,1055,877,14.68,1
169,1056,878,16.19,0
170,1057,879,24.41,1
171,1058,880,14.59,1
172,1059,881,15.69,0
173,1060,882,21.79,1
174,1061,883,21.03,1
175,1062,884,43.87,1
176,1063,885,40.44,1
177,1064,886,28.55,1
178,1065,887,32.51,0
179,1066,888,46.75,1
180,1067,889,18.1,0
181,1068,890,17.28,1
182,1069,891,18.88,0
183,1070,892,13.01,1
184,1071,893,30.01,1
185,1072,894,12.82,1
186,1073,895,36.43,0
187,1074,896,13.47,0
188,1075,897,10.74,0
189,1076,898,29.31,1
190,1077,899,44.04,1
191,1078,900,26.01,0
192,1079,901,36.82,1
193,1080,902,8.01,0
194,1081,903,27.33,0
195,1082,904,6.31,0
196,1083,905,24.74,1
197,1084,906,38.16,1
198,1085,907,47.74,0
199,1086,908,34.53,0
200,1087,909,24.06,1
201,1088,910,46.14,0
202,1089,911,8.28,1
203,1090,912,35.28,0
204,1091,913,29.22,0
205,1092,914,8.61,0
206,1093,915,19.18,0
207,1094,916,47.25,1
208,1095,917,40.97,0
209,1096,918,25.13,0
210,1097,919,35.31,1
211,1098,920,44.12,1
212,1099,921,14.74,1
213,1100,922,10.49,0
214,1101,923,39.4,1
215,1102,924,21.03,0
216,1103,925,31.95,1
217,1104,926,21.74,1
218,1105,927,17.1,0
219,1106,928,18.91,0
220,1107,929,13.01,0
221,1108,930,38.7,0
222,1109,931,9.63,1
223,1110,932,30.26,0
224,1111,933,5.39,0
225,1112,934,7.9,0
226,1113,935,42.03,0
227,1114,936,23.27,0
228,1115,937,25.78,1
229,1116,938,22.39,0
230,1117,939,37.93,0
231,1118,940,33.25,1
232,1119,941,29.78,0
233,1120,942,37.29,1
234,1121,943,21.34,1
235,1122,944,31.06,1
236,1123,945,12.45,1
237,1124,946,33.34,1
238,1125,947,22.79,0
239,1126,948,5.77,1
240,1127,949,14.99,0
241,1128,950,49.83,1
242,1129,951,43.45,1
243,1130,952,27.03,0
244,1131,953,33.33,0
245,1132,954,28.22,0
246,1133,955,15.92,0
247,1134,956,49.5,0
248,1135,957,16.86,0
249,1136,958,29.93,1
250,1137,959,31.28,0
251,1138,960,49.15,1
252,1139,961,26.85,0
253,1140,962,34.78,0
254,1141,963,19.85,1
255,1142,964,40.18,0
256,1143,965,15.77,1
257,1144,966,16.09,0
258,1145,967,13.87,1
259,1146,968,7.44,1
260,1147,969,35.97,1
261,1148,970,8.71,0
262,1149,971,20.48,1
263,1150,972,29.85,1
264,1151,973,37.08,1
265,1152,974,20.6,1
266,1153,975,16.51,0
267,1154,976,27.3,1
268,1155,977,25.45,1
269,1156,978,14.55,1
270,1157,979,34.22,1
271,1158,980,31.16,1
272,1159,981,24.46,0
273,1160,982,47.08,1
274,1161,983,11.27,0
275,1162,984,12.14,0
276,1163,985,21.52,0
277,1164,986,29.26,0
278,1165,987,41.92,1
279,1166,988,37.24,0
280,1167,989,14.42,1
281,1168,990,25.86,1
282,1169,991,10.5,1
283,1170,992,23.79,1
284,1171,993,34.13,0
285,1172,994,36.98,1
286,1173,995,6.01,0
287,1174,996,46.14,1
288,1175,997,41.04,0
289,1176,998,31.26,0
290,1177,999,44.17,0
291,1178,1000,22.32,0
292,1179,1001,36.09,1
293,1180,1002,9.33,0
294,1181,1003,39.36,1
295,1182,1004,41.39,0
296,1183,1005,47.51,1
297,1184,1006,43.0,1
298,1185,1007,15.1,0
299,1186,1008,6.13,1
300,1187,1009,34.37,0
301,1188,1010,24.96,0
302,1189,1011,35.22,0
303,1190,1012,32.01,0
304,1191,1013,9.75,1
305,1192,1014,21.13,0
306,1193,1015,14.14,0
307,1194,1016,7.91,1
308,1195,1017,41.37,1
309,1196,1018,32.27,1
310,1197,1019,27.89,1
311,1198,1020,13.85,0
312,1199,1021,49.16,0
313,1200,1022,14.2,0
314,1201,1023,18.2,0
315,1202,1024,45.97,0
316,1203,1025,6.98,0
317,1204,1026,14.24,1
318,1205,1027,41.08,1
319,1206,1028,28.48,1
320,1207,1029,11.89,0
321,1208,1030,23.91,0
322,1209,1031,7.18,1
323,1210,1032,17.41,1
324,1211,1033,32.8,0
325,1212,1034,48.68,1
326,1213,1035,15.01,1
327,1214,1036,10.41,1
328,1215,1037,31.01,1
329,1216,1038,34.77,1
330,1217,1039,36.13,1
331,1218,1040,5.44,1
332,1219,1041,37.08,0
333,1220,1042,39.14,0
334,1221,1043,11.56,1
335,1222,1044,26.75,0
336,1223,1045,47.03,0
337,1224,1046,38.85,0
338,1225,1047,45.0,0
339,1226,1048,30.76,0
340,1227,1049,19.32,0
341,1228,1050,11.78,0
342,1229,1051,23.14,1
343,1230,1052,45.89,0
344,1231,1053,5.91,0
345,1232,1054,28.03,0
346,1233,1055,25.58,0
347,1234,1056,34.46,1
348,1235,1057,17.16,1
349,1236,1058,11.68,0
350,1237,1059,25.04,0
351,1238,1060,41.79,1
352,1239,1061,25.64,0
353,1240,1062,47.95,1
354,1241,1063,39.87,0
355,1242,1064,36.41,1
356,1243,1065,40.09,0
357,1244,1066,47.15,0
358,1245,1067,24.74,1
359,1246,1068,46.92,0
360,1247,1069,26.06,0
361,1248,1070,6.5,1
362,1249,1071,5.58,0
363,1250,1072,31.85,0
364,1251,1073,25.11,0
365,1252,1074,26.63,0
366,1253,1075,42.4,0
367,1254,1076,17.56,0
368,1255,1077,40.26,0
369,1256,1078,7.52,0
370,1257,1079,31.93,1
371,1258,1080,8.67,1
372,1259,1081,8.25,1
373,1260,1082,42.15,1
374,1261,1083,32.28,1
375,1262,1084,47.5,0
376,1263,1085,23.13,1
377,1264,1086,44.88,0
378,1265,1087,33.34,1
379,1266,1088,27.02,0
380,1267,1089,39.45,0
381,1268,1090,23.46,1
382,1269,1091,42.75,1
383,1270,1092,20.65,1
384,1271,1093,37.17,0
385,1272,1094,15.52,0
386,1273,1095,23.86,1
387,1274,1096,31.92,0
388,1275,1097,47.23,1
389,1276,1098,7.73,0
390,1277,1099,15.06,1
391,1278,1100,19.3,1
392,1279,1101,25.48,0
393,1280,1102,47.92,0
394,1281,1103,36.42,0
395,1282,1104,15.79,1
396,1283,1105,28.0,1
397,1284,1106,12.43,0
398,1285,1107,11.05,1
399,1286,1108,13.86,0
400,1287,1109,34.18,0
401,1288,1110,27.51,0
402,1289,1111,30.72,0
403,1290,1112,18.08,1
404,1291,1113,10.04,0
405,1292,1114,25.57,1
406,1293,1115,17.07,0
407,1294,1116,29.31,0
408,1295,1117,33.82,1
409,1296,1118,15.13,0
410,1297,1119,38.26,1
411,1298,1120,32.3,0
412,1299,1121,17.63,0
413,1300,1122,48.48,1
414,1301,1123,10.2,1
415,1302,1124,12.74,0
416,1303,1125,26.34,1
417,1304,1126,23.14,1
418,1305,1127,34.82,1
419,1306,1128,34.15,0
420,1307,1129,34.8,0
421,1308,1130,31.04,0
422,1309,1131,48.84,1
423,1310,1132,43.91,0
424,1311,1133,37.92,1
425,1312,1134,17.43,0
426,1313,1135,16.62,1
427,1314,1136,14.14,1
428,1315,1137,32.04,0
429,1316,1138,37.99,1
430,1317,1139,33.93,0
431,1318,1140,42.87,1
432,1319,1141,6.5,1
433,1320,1142,16.19,0
434,1321,1143,14.67,0
435,1322,1144,7.25,1
436,1323,1145,29.17,1
437,1324,1146,36.65,1
438,1325,1147,26.11,1
439,1326,1148,11.2,1
440,1327,1149,24.52,0
441,1328,1150,32.79,1
442,1329,1151,11.36,0
443,1330,1152,15.7,1
444,1331,1153,15.34,1
445,1332,1154,46.45,0
446,1333,1155,39.48,0
447,1334,1156,5.81,1
448,1335,1157,19.09,0
449,1336,1158,26.87,1
450,1337,1159,15.81,1
451,1338,1160,41.56,0
452,1339,1161,40.15,0
453,1340,1162,46.49,1
454,1341,1163,49.74,1
455,1342,1164,14.83,0
456,1343,1165,34.07,1
457,1344,1166,40.91,0
458,1345,1167,13.52,0
459,1346,1168,44.45,0
460,1347,1169,21.03,1
461,1348,1170,41.58,0
462,1349,1171,23.09,1
463,1350,1172,24.94,0
464,1351,1173,43.35,0
465,1352,1174,31.08,1
466,1353,1175,22.7,1
467,1354,1176,11.51,0
468,1355,1177,22.19,1
469,1356,1178,14.91,1
470,1357,1179,36.84,1
471,1358,1180,5.71,0
472,1359,1181,38.08,1
473,1360,1182,25.29,0
474,1361,1183,16.84,1
475,1362,1184,12.28,0
476,1363,1185,8.69,1
477,1364,1186,15.72,0
478,1365,1187,6.0,0
479,1366,1188,33.86,1
480,1367,1189,38.65,0
481,1368,1190,7.65,1
482,1369,1191,29.75,0
483,1370,1192,18.43,1
484,1371,1193,45.37,1
485,1372,1194,38.91,0
486,1373,1195,16.47,0
487,1374,1196,38.93,1
488,1375,1197,5.23,1
489,1376,1198,31.09,1
490,1377,1199,23.14,0
491,1378,1200,34.64,1
492,1379,1201,42.95,1
493,1380,1202,49.32,0
494,1381,1203,13.77,0
495,1382,1204,31.67,0
496,1383,1205,35.61,1
497,1384,1206,26.57,0
498,1385,1207,13.3,1
499,1386,1208,36.52,1
500,1387,1209,18.83,1
501,1388,1210,14.75,1
502,1389,1211,29.16,0
503,1390,1212,47.24,1
504,1391,1213,11.13,1
505,1392,1214,5.84,0
506,1393,1215,35.42,0
507,1394,1216,34.22,0
508,1395,1217,37.85,0
509,1396,1218,16.86,0
510,1397,1219,16.15,1
511,1398,1220,40.56,0
512,1399,1221,42.57,1
513,1400,1222,14.75,0
514,1401,1223,20.58,1
515,1402,1224,16.2,0
516,1403,1225,32.72,0
517,1404,1226,25.73,1
518,1405,1227,25.39,0
519,1406,1228,33.19,1
520,1407,1229,38.76,1
521,1408,1230,46.17,0
522,1409,1231,17.98,1
523,1410,1232,36.25,0
524,1411,1233,45.31,1
525,1412,1234,12.64,1
526,1413,1235,33.2,1
527,1414,1236,44.93,1
528,1415,1237,39.55,0
529,1416,1238,36.44,1
530,1417,1239,14.99,1
531,1418,1240,13.49,0
532,1419,1241,8.05,1
533,1420,1242,6.2,1
534,1421,1243,28.79,1
535,1422,1244,15.51,1
536,1423,1245,21.07,0
537,1424,1246,24.35,0
538,1425,1247,11.71,1
539,1426,1248,46.22,1
540,1427,1249,32.06,1
541,1428,1250,11.52,0
542,1429,1251,38.67,1
543,1430,1252,36.66,0
544,1431,1253,44.85,0
545,1432,1254,6.15,1
546,1433,1255,46.35,1
547,1434,1256,6.58,0
548,1435,1257,29.88,0
549,1436,1258,22.25,0
550,1437,1259,30.46,1
551,1438,1260,43.6,1
552,1439,1261,13.79,0
553,1440,1262,18.29,1
554,1441,1263,27.9,0
555,1442,1264,49.27,0
556,1443,1265,9.38,1
557,1444,1266,29.1,0
558,1445,1267,7.02,1
559,1446,1268,11.21,1
560,1447,1269,22.95,0
561,1448,1270,32.93,0
562,1449,1271,29.89,0
563,1450,1272,7.09,1
564,1451,1273,31.53,0
565,1452,1274,40.31,1
566,1453,1275,48.14,0
567,1454,1276,48.06,1
568,1455,1277,34.26,0
569,1456,1278,10.52,0
570,1457,1279,26.45,0
571,1458,1280,48.07,1
572,1459,1281,34.58,1
573,1460,1282,29.69,1
574,1461,1283,28.19,1
575,1462,1284,25.46,0
576,1463,1285,49.51,0
577,1464,1286,40.63,0
578,1465,1287,44.62,1
579,1466,1288,15.04,0
580,1467,1289,33.76,0
581,1468,1290,43.97,0
582,1469,1291,21.89,1
583,1470,1292,39.46,1
584,1471,1293,15.01,1
585,1472,1294,26.11,1
586,1473,1295,42.85,1
587,1474,1296,47.77,0
588,1475,1297,42.97,1
589,1476,1298,41.52,0
590,1477,1299,23.49,0
591,1478,1300,21.38,0
592,1479,1301,38.35,0
593,1480,1302,48.93,0
594,1481,1303,5.84,0
595,1482,1304,45.02,1
596,1483,1305,19.92,1
597,1484,1306,18.65,0
598,1485,1307,13.29,1
599,1486,1308,26.31,0
600,1487,1309,8.84,0
601,1488,1310,13.18,1
602,1489,1311,36.38,0
603,1490,1312,11.84,1
604,1491,1313,49.73,1
605,1492,1314,36.15,1
606,1493,1315,47.24,1
607,1494,1316,32.26,1
608,1495,1317,5.78,1
609,1496,1318,43.06,0
610,1497,1319,34.31,0
611,1498,1320,15.78,1
612,1499,1321,37.83,0
613,1500,1322,40.46,1
614,1501,1323,26.53,1
615,1502,1324,30.52,0
616,1503,1325,42.59,1
617,1504,1326,44.44,1
618,1505,1327,22.71,0
619,1506,1328,38.27,1
620,1507,1329,46.87,0
621,1508,1330,36.9,0
622,1509,1331,5.62,1
623,1510,1332,15.21,0
624,1511,1333,5.91,1
625,1512,1334,36.82,1
626,1513,1335,42.81,0
627,1514,1336,24.3,1
628,1515,1337,31.41,1
629,1516,1338,14.34,1
630,1517,1339,7.03,1
631,1518,1340,46.66,0
632,1519,1341,24.11,1
633,1520,1342,10.92,0
634,1521,1343,38.14,0
635,1522,1344,16.18,1
636,1523,1345,19.83,1
637,1524,1346,11.32,1
638,1525,1347,22.58,0
639,1526,1348,7.28,0
640,1527,1349,5.55,1
641,1528,1350,42.54,1
642,1529,1351,7.12,0
643,1530,1352,37.55,0
644,1531,1353,11.21,0
645,1532,1354,12.07,1
646,1533,1355,30.82,1
647,1534,1356,12.22,1
648,1535,1357,14.86,0
649,1536,1358,34.34,1
650,1537,1359,39.97,0
651,1538,1360,33.37,1
652,1539,1361,35.24,1
653,1540,1362,40.54,0
654,1541,1363,14.3,0
655,1542,1364,41.04,0
656,1543,1365,25.47,1
657,1544,1366,47.21,1
658,1545,1367,18.75,1
659,1546,1368,8.34,1
660,1547,1369,30.73,0
661,1548,1370,7.81,1
662,1549,1371,25.23,0
663,1550,1372,12.57,1
664,1551,1373,20.76,0
665,1552,1374,28.14,0
666,1553,1375,23.81,1
667,1554,1376,31.51,0
668,1555,1377,10.53,1
669,1556,1378,39.06,0
670,1557,1379,25.08,0
671,1558,1380,31.46,1
672,1559,1381,18.76,1
673,1560,1382,44.6,1
674,1561,1383,31.73,0
675,1562,1384,32.77,1
676,1563,1385,5.01,0
677,1564,1386,21.4,1
678,1565,1387,28.4,0
679,1566,1388,44.83,1
680,1567,1389,48.29,1
681,1568,1390,39.87,1
682,1569,1391,47.5,1
683,1570,1392,5.99,0
684,1571,1393,6.3,1
685,1572,1394,8.38,1
686,1573,1395,30.63,0
687,1574,1396,23.13,0
688,1575,1397,49.72,1
689,1576,1398,44.45,1
690,1577,1399,11.27,1
691,1578,1400,36.34,1
692,1579,1401,6.0,1
693,1580,1402,35.01,1
694,1581,1403,24.97,1
695,1582,1404,30.87,1
696,1583,1405,49.33,0
697,1584,1406,38.6,0
698,1585,1407,35.44,0
699,1586,1408,12.5,1
700,1587,1409,11.64,0
701,1588,1410,32.01,0
702,1589,1411,11.24,0
703,1590,1412,8.1,0
704,1591,1413,15.71,0
705,1592,1414,48.03,0
706,1593,1415,24.12,0
707,1594,1416,10.23,1
708,1595,1417,12.61,0
709,1596,1418,15.22,0
710,1597,1419,21.66,1
711,1598,1420,16.18,1
712,1599,1421,27.03,0
713,1600,1422,20.09,0
714,1601,1423,18.65,1
715,1602,1424,12.16,0
716,1603,1425,17.52,1
717,1604,1426,32.88,0
718,1605,1427,11.81,1
719,1606,1428,38.84,1
720,1607,1429,36.22,1
721,1608,1430,10.53,1
722,1609,1431,11.94,0
723,1610,1432,5.53,0
724,1611,1433,32.03,1
725,1612,1434,18.77,0
726,1613,1435,29.41,1
727,1614,1436,14.81,1
728,1615,1437,7.48,1
729,1616,1438,45.0,1
730,1617,1439,25.27,0
731,1618,1440,34.01,1
732,1619,1441,8.03,1
733,1620,1442,16.4,0
734,1621,1443,30.3,0
735,1622,1444,6.05,0
736,1623,1445,23.27,0
737,1624,1446,24.54,1
738,1625,1447,34.32,0
739,1626,1448,12.08,0
740,1627,1449,7.79,0
741,1628,1450,8.16,0
742,1629,1451,13.69,0
743,1630,1452,37.07,1
744,1631,1453,24.63,0
745,1632,1454,32.85,1
746,1633,1455,39.49,0
747,1634,1456,42.69,0
748,1635,1457,44.22,1
749,1636,1458,23.01,0
750,1637,1459,42.59,0
751,1638,1460,20.21,0
752,1639,1461,23.07,0
753,1640,1462,16.41,0
754,1641,1463,5.45,0
755,1642,1464,15.19,1
756,1643,1465,27.07,1
757,1644,1466,11.82,0
758,1645,1467,41.9,0
759,1646,1468,15.77,1
760,1647,1469,21.47,0
761,1648,1470,10.03,0
762,1649,1471,42.76,1
763,1650,1472,31.06,1
764,1651,1473,40.03,1
765,1652,1474,17.0,1
766,1653,1475,19.32,1
767,1654,1476,18.69,1
768,1655,1477,34.42,0
769,1656,1478,25.76,0
770,1657,1479,29.0,0
771,1658,1480,27.49,0
772,1659,1481,12.27,0
773,1660,1482,28.45,0
774,1661,1483,31.68,1
775,1662,1484,48.29,0
776,1663,1485,20.26,1
777,1664,1486,44.91,1
778,1665,1487,12.26,1
779,1666,1488,21.76,0
780,1667,1489,16.74,1
781,1668,1490,32.5,1
782,1669,1491,47.15,1
783,1670,1492,23.63,0
784,1671,1493,40.72,1
785,1672,1494,9.11,0
786,1673,1495,42.3,0
787,1674,1496,33.71,0
788,1675,1497,11.69,1
789,1676,1498,44.08,1
790,1677,1499,30.75,1
791,1678,1500,35.42,0
792,1679,1501,17.15,0
793,1680,1502,38.41,1
794,1681,1503,36.19,0
795,1682,1504,15.28,0
796,1683,1505,39.42,1
797,1684,1506,21.16,1
798,1685,1507,42.89,1
799,1686,1508,26.8,1
800,1687,1509,22.19,1
801,1688,1510,10.18,0
802,1689,1511,46.62,0
803,1690,1512,38.83,0
804,1691,1513,18.54,1
805,1692,1514,32.66,1
806,1693,1515,9.02,0
807,1694,1516,28.25,1
808,1695,1517,26.19,1
809,1696,1518,6.54,0
810,1697,1519,12.76,0
811,1698,1520,48.0,0
812,1699,1521,45.8,0
813,1700,1522,26.03,0
814,1701,1523,14.23,1
815,1702,1524,16.63,1
816,1703,1525,39.51,0
817,1704,1526,17.36,0
818,1705,1527,15.82,0
819,1706,1528,27.51,1
820,1707,1529,16.91,1
821,1708,1530,13.54,1
822,1709,1531,9.36,1
823,1710,1532,5.08,0
824,1711,1533,10.02,0
825,1712,1534,32.85,1
826,1713,1535,15.97,1
827,1714,1536,24.3,0
828,1715,1537,23.42,1
829,1716,1538,46.85,0
830,1717,1539,21.46,1
831,1718,1540,47.33,1
832,1719,1541,48.44,1
833,1720,1542,34.39,1
834,1721,1543,10.34,1
835,1722,1544,37.51,1
836,1723,1545,29.05,0
837,1724,1546,31.5,0
838,1725,1547,23.63,1
839,1726,1548,48.45,0
840,1727,1549,31.49,1
841,1728,1550,40.77,0
842,1729,1551,48.01,0
843,1730,1552,15.5,1
844,1731,1553,12.79,0
845,1732,1554,5.61,0
846,1733,1555,32.2,1
847,1734,1556,37.92,1
848,1735,1557,32.68,1
849,1736,1558,15.47,1
850,1737,1559,39.79,0
851,1738,1560,36.87,1
852,1739,1561,27.48,1
853,1740,1562,36.2,1
854,1741,1563,42.33,1
855,1742,1564,12.34,0
856,1743,1565,5.49,0
857,1744,1566,7.12,0
858,1745,1567,14.81,0
859,1746,1568,23.5,1
860,1747,1569,9.29,1
861,1748,1570,46.34,0
862,1749,1571,35.04,0
863,1750,1572,46.13,1
864,1751,1573,8.39,1
865,1752,1574,37.0,1
866,1753,1575,5.96,0
867,1754,1576,18.23,0
868,1755,1577,7.33,1
869,1756,1578,41.01,1
870,1757,1579,17.17,0
871,1758,1580,43.19,0
872,1759,1581,31.49,1
873,1760,1582,24.91,0
874,1761,1583,42.36,0
875,1762,1584,17.06,1
876,1763,1585,17.14,1
877,1764,1586,35.51,0
878,1765,1587,36.89,0
879,1766,1588,21.45,0
880,1767,1589,31.25,1
881,1768,1590,20.44,0
882,1769,1591,45.34,1
883,1770,1592,7.79,0
884,1771,1593,46.21,1
885,1772,1594,45.07,0
886,1773,1595,44.81,1
887,1774,1596,33.53,0
888,1775,1597,22.52,0
889,1776,1598,19.49,1
890,1777,1599,45.94,0
891,1778,1600,9.91,1
892,1779,1601,41.93,0
893,1780,1602,40.22,1
894,1781,1603,35.14,1
895,1782,1604,16.03,0
896,1783,1605,35.64,1
897,1784,1606,40.14,0
898,1785,1607,29.09,1
899,1786,1608,23.79,1
900,1787,1609,35.76,1
901,1788,1610,19.01,1
902,1789,1611,7.7,0
903,1790,1612,42.54,1
904,1791,1613,15.34,1
905,1792,1614,11.61,0
906,1793,1615,11.51,1
907,1794,1616,29.57,0
908,1795,1617,28.45,1
909,1796,1618,18.75,1
910,1797,1619,42.56,0
911,1798,1620,44.21,1
912,1799,1621,47.02,0
913,1800,1622,26.29,1
914,1801,1623,33.32,0
915,1802,1624,6.26,0
916,1803,1625,40.56,0
917,1804,1626,39.38,0
918,1805,1627,6.22,1
919,1806,1628,7.92,0
920,1807,1629,18.95,0
921,1808,1630,43.29,1
922,1809,1631,24.33,0
923,1810,1632,20.57,0
924,1811,1633,22.39,0
925,1812,1634,47.85,1
926,1813,1635,17.17,0
927,1814,1636,18.94,0
928,1815,1637,46.73,0
929,1816,1638,5.38,1
930,1817,1639,17.22,0
931,1818,1640,21.38,0
932,1819,1641,45.8,1
933,1820,1642,37.31,1
934,1821,1643,37.12,0
935,1822,1644,20.19,1
936,1823,1645,33.26,1
937,1824,1646,16.57,0
938,1825,1647,7.71,1
939,1826,1648,49.91,1
940,1827,1649,14.26,0
941,1828,1650,29.68,1
942,1829,1651,16.7,0
943,1830,1652,21.43,1
944,1831,1653,38.38,0
945,1832,1654,20.23,1
946,1833,1655,48.72,0
947,1834,1656,29.48,1
948,1835,1657,5.85,1
949,1836,1658,32.04,1
950,1837,1659,41.41,0
951,1838,1660,42.07,1
952,1839,1661,47.38,0
953,1840,1662,13.94,1
954,1841,1663,17.79,1
955,1842,1664,7.03,0
956,1843,1665,34.18,1
957,1844,1666,13.04,0
958,1845,1667,20.11,0
959,1846,1668,45.33,0
960,1847,1669,41.32,1
961,1848,1670,30.42,0
962,1849,1671,26.19,0
963,1850,1672,27.51,1
964,1851,1673,36.09,0
965,1852,1674,33.8,1
966,1853,1675,24.8,1
967,1854,1676,42.69,1
968,1855,1677,6.63,0
969,1856,1678,25.05,0
970,1857,1679,8.21,0
971,1858,1680,29.77,1
972,1859,1681,20.64,0
973,1860,1682,45.37,1
974,1861,1683,49.69,0
975,1862,1684,7.22,1
976,1863,1685,7.19,1
977,1864,1686,14.6,1
978,1865,1687,49.39,1
979,1866,1688,45.74,1
980,1867,1689,42.31,0
981,1868,1690,30.84,0
982,1869,1691,16.6,0
983,1870,1692,47.68,1
984,1871,1693,29.78,0
985,1872,1694,42.07,0
986,1873,1695,24.47,1
987,1874,1696,9.45,0
988,1875,1697,48.9,0
989,1876,1698,33.3,1
990,1877,1699,43.84,0
991,1878,1700,31.93,1
992,1879,1701,27.5,0
993,1880,1702,8.84,1
994,1881,1703,9.64,0
995,1882,1704,48.91,0
996,1883,1705,23.35,1
997,1884,1706,37.83,0
998,1885,1707,8.69,1
999,1886,1708,22.16,0
1000,1887,1709,23.39,1
